Agency,SiteNumber,Date,Groundwater_in_FeetBelowLandSurface,StationName,Latitude,Longitude,CoordinateAccuracy,CoordinateDatum,CountyCode,LandSurface_or_GageAltitude
USGS,3.63442E+14,8/21/2021,11.55,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,8/22/2021,11.59,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,8/23/2021,11.61,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,8/24/2021,11.74,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,8/25/2021,12.87,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,8/26/2021,13.05,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,8/27/2021,13.44,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,8/28/2021,12.72,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,8/29/2021,12.37,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,8/30/2021,12.24,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,8/31/2021,13.01,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,9/1/2021,13.47,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,9/2/2021,12.84,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,9/3/2021,12.58,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,9/4/2021,12.48,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,9/5/2021,12.27,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,9/6/2021,12.16,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,9/7/2021,12.13,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,9/8/2021,12.14,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,9/9/2021,12.18,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,9/10/2021,12.19,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,9/11/2021,12.21,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,9/12/2021,12.24,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,9/13/2021,12.27,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,9/14/2021,12.36,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
USGS,3.63442E+14,9/15/2021,12.47,Naylor,36.5792222,-90.6129444,1,NAD83,181,303
